id;nome;nome_azienda;numero_di_telefono
f7bb8734-7141-4a96-bc66-855f90b14b40;including;zowie;cleverly councilman
9a0ee507-8682-47fa-b942-a8cbff6e16cb;coaxingly who psst;consequently eek;moral where across
44ca0f4b-6f5e-4483-9487-473fcf43a0bb;bah equatorial instead;engender toward;crackle yahoo
0e832eb7-be79-4f52-8975-ea9787fa6161;whenever case;citizen kiss;questioningly
6942977f-d1b7-449a-a0cc-eef1372eeb0f;recklessly ugh;aboard marten thankfully;briefly silk
fb9574d8-e1ff-4c30-bc2c-9e55b544b9a9;habit;agreement amongst;certification boohoo gee
1b7b4b8c-61de-446d-95a0-f5366e32f075;amid;since;which spark
33cf1ce4-8556-468e-bc42-25918384591c;bog;afraid;midst singing mockingly
8972acb6-ffc2-46ca-ae6b-2dcba6d18a36;hyphenation vista hence;slimy;contractor probate among
298c6760-8f77-48ef-9244-e2d5911e4fcb;vibration;zowie conservation optimistically;tough scale
